county_state,latitude,longitude,deaths_per_100K,cluster_num,Reg_Avg_Deaths_per_100K
"Smith County, Texas",32.38,-95.27,7.733586536685126,251,9.85348417403283
"Somervell County, Texas",32.22,-97.77,0.0,136,12.99414788617734
"Starr County, Texas",26.57,-98.73,75.81266535670633,119,70.31935394134533
"Stephens County, Texas",32.74,-98.84,21.353833013025838,213,11.741063026402843
"Stonewall County, Texas",33.18,-100.25,0.0,46,10.051516136149823
"Sutton County, Texas",30.5,-100.54,26.483050847457626,222,19.33746902795043
"Swisher County, Texas",34.53,-101.73,27.037988373665,7,37.5036638101785
"Tarrant County, Texas",32.77,-97.29,18.121154902580958,9,6.255374215226461
"Taylor County, Texas",32.31,-99.88,13.764724633061421,46,10.051516136149823
"Terrell County, Texas",30.23,-102.07,0.0,222,19.33746902795043
"Terry County, Texas",33.17,-102.34,8.105698305909055,197,26.308578420962213
"Throckmorton County, Texas",33.18,-99.21,0.0,285,15.769930560298695
"Titus County, Texas",33.22,-94.97,42.74809160305343,52,50.35241210916263
"Tom Green County, Texas",31.41,-100.46,15.100671140939598,46,10.051516136149823
"Travis County, Texas",30.33,-97.78,21.50784094245161,173,30.901758879368547
"Trinity County, Texas",31.09,-95.12,13.650945327963962,86,45.933291368639594
"Tyler County, Texas",30.77,-94.38,4.614248800295312,86,45.933291368639594
"Upshur County, Texas",32.73,-94.94,4.790074964673197,251,9.85348417403283
"Upton County, Texas",31.36,-102.04,27.344818156959256,68,24.69546098137013
"Uvalde County, Texas",29.35,-99.76,26.17703152462511,35,28.540796568432665
"Val Verde County, Texas",29.89,-101.15,34.676185619581844,222,19.33746902795043
"Van Zandt County, Texas",32.56,-95.84,5.301289980561937,251,9.85348417403283
"Victoria County, Texas",28.8,-96.97,42.352634551062074,287,33.65576179175833
"Walker County, Texas",30.74,-95.57,52.07548204081073,223,24.522761561442067
"Waller County, Texas",30.01,-95.98,3.620171596133657,21,31.607615103615277
"Ward County, Texas",31.51,-103.1,8.334722453742291,68,24.69546098137013
"Washington County, Texas",30.21,-96.41,105.90268100997716,21,31.607615103615277
"Webb County, Texas",27.77,-99.33,45.906048031461914,35,28.540796568432665
"Wharton County, Texas",29.28,-96.22,48.12782750986621,287,33.65576179175833
"Wheeler County, Texas",35.4,-100.27,0.0,208,5.746356584118836
"Wichita County, Texas",33.99,-98.71,6.80632231717462,285,15.769930560298695
"Wilbarger County, Texas",34.08,-99.24,7.831466833737959,285,15.769930560298695
"Willacy County, Texas",26.49,-97.6,84.2775540780972,119,70.31935394134533
"Williamson County, Texas",30.655511111111004,-97.5839,13.377337435716814,173,30.901758879368547
"Wilson County, Texas",29.17,-98.09,31.329547679655374,173,30.901758879368547
"Winkler County, Texas",31.86,-103.05,12.484394506866415,68,24.69546098137013
"Wise County, Texas",33.22,-97.65,7.144490169181527,9,6.255374215226461
"Wood County, Texas",32.78,-95.38,10.97959990337952,251,9.85348417403283
"Yoakum County, Texas",33.18,-102.82,11.47710317915758,197,26.308578420962213
"Young County, Texas",33.18,-98.7,16.65741254858412,213,11.741063026402843
"Zapata County, Texas",27.0,-99.18,14.105367092178573,119,70.31935394134533
"Zavala County, Texas",28.86,-99.76,42.229729729729726,35,28.540796568432665
"Beaver County, Utah",38.34,-113.23,0.0,204,3.7277728551060823
"Box Elder County, Utah",41.51,-113.1,3.5684973057845344,66,2.0635186859591292
"Cache County, Utah",41.69,-111.75,3.117960230417261,66,2.0635186859591292
"Carbon County, Utah",39.64,-110.58,0.0,131,0.0
"Davis County, Utah",41.01,-112.12,3.657016830716691,159,5.957296959845389
"Duchesne County, Utah",40.28,-110.44,0.0,131,0.0
"Emery County, Utah",38.99,-110.69,0.0,247,33.18250826644563
"Garfield County, Utah",37.87,-111.44,39.59611958028113,247,33.18250826644563
"Grand County, Utah",38.99,-109.56,0.0,131,0.0
"Iron County, Utah",37.86,-113.28,3.647039515673152,204,3.7277728551060823
"Juab County, Utah",39.71,-112.8,8.32154447865524,265,2.7738481595517466
"Kane County, Utah",37.29,-111.89,0.0,39,40.77336976219019
"Millard County, Utah",39.05,-113.1,0.0,265,2.7738481595517466
"Morgan County, Utah",41.08,-111.58,0.0,159,5.957296959845389
"Piute County, Utah",38.34,-112.13,0.0,247,33.18250826644563
"Rich County, Utah",41.62,-111.24,0.0,261,1.8292230058026118
"Salt Lake County, Utah",40.67,-111.93,15.166700131071313,159,5.957296959845389
"San Juan County, Utah",37.63,-109.81,150.24823621635747,247,33.18250826644563
"Sanpete County, Utah",39.37,-111.58,0.0,159,5.957296959845389
"Sevier County, Utah",38.75,-111.8,9.250693802035153,247,33.18250826644563
"Summit County, Utah",40.88,-110.97,2.3727607070826906,261,1.8292230058026118
"Tooele County, Utah",40.45,-113.18,0.0,265,2.7738481595517466
"Uintah County, Utah",40.13,-109.52,0.0,131,0.0
"Utah County, Utah",40.12,-111.67,5.18676275275645,159,5.957296959845389
"Wasatch County, Utah",40.33,-111.16,11.733302044527882,159,5.957296959845389
"Washington County, Utah",37.28,-113.52,11.264051904751177,204,3.7277728551060823
"Wayne County, Utah",38.36,-110.9,0.0,247,33.18250826644563
"Weber County, Utah",41.3,-111.92,9.60751384442745,66,2.0635186859591292
"Addison County, Vermont",44.032776,-73.167923,5.4381814721157244,72,6.909390428188658
